HEAD,total_spend_pkr,avg_share_pct,first_month,last_month,months_active,mean_mom_growth
Gardening & Plantation,417670.0,0.20071749790538873,2024-01,2025-08,10,8.06868970301209
Fertilizer expenss,412856.0,0.684046417391864,2024-06,2025-06,3,9.14831485475805
Staff Welfare  (Factory),400901.0,0.10184868836440668,2024-03,2025-09,18,1.0732434160498625
Social security,400302.0,0.1059943384020268,2024-01,2025-09,21,0.0138214196558327
Vehicle POL LEE-17-7430 Hafiz Qadir,398960.0,0.12834311120129968,2024-01,2025-06,17,0.04016054477034503
Vehicle R&M Repair 9700,386500.0,1.050554572371761,2024-07,2025-06,3,-0.43145401055853005
Vehicle Running & Maint. (H.O),386338.0,0.2155052003773169,2024-02,2025-09,11,1.0131801713867106
Pesticide expenses,380536.0,0.20993530628884324,2024-03,2025-09,6,2.297135902666014
E.O.B.I,352350.0,0.08606848381485094,2024-01,2025-09,21,0.07212046030405406
Vehicle R&M Repair PA-443,347720.0,0.28590845707961765,2025-03,2025-10,8,0.2780436086194648
Misc. Expenses-Selling,344740.0,0.14612504370589202,2024-01,2025-10,22,0.09101819702780768
Misc.Expenses-HO,344679.0,0.15765139442197557,2024-02,2025-09,15,3.1906387125706144
Wheat seed expenses,343900.0,0.6512810994937361,2024-01,2025-03,2,-0.18330692023243533
Social Security,336960.0,0.08472400705339822,2024-01,2025-09,21,-0.005402846027846025
Repair & Renovation HO,327445.0,0.0883355529462224,2024-01,2025-09,19,0.3382512468474259
Repair & Maintenance Electrical,324122.0,0.13314984650411635,2024-01,2025-10,19,1.875866201883409
Bank Charges,323255.36,0.07897132202423095,2024-01,2025-10,22,2.1022266956167703
Travelling & Conveyance Others,322718.0,0.15100513114205735,2024-01,2025-10,22,0.38201050828987654
labour charges-cotton,321624.0,0.13876558532762948,2024-02,2025-06,10,3.4995649620212927
Pesticide Consumed,302065.0,0.9205525351449367,2025-09,2025-09,1,
Vehicle Repair 2995 Aslam Sb.,299960.0,0.12228839933724038,2024-01,2025-10,22,4.216129137494877
Vehicle POL M/C ALF 6829 Hassan Raz,293890.0,0.09458544423006485,2024-01,2025-10,20,0.37315668460039414
labour charges sesame seed,282557.0,0.14944619937123516,2024-03,2025-10,13,2.1842305207500874
Vehicle R&M POL 9700 Zafar Iqbal,273235.0,0.11586687968130781,2024-01,2025-09,15,3.6819293605580556
